region,drug_name,drug_category,items_prescribed,cost,deprivation_score,shortage_incidents,pharmacy_density,year
Newcastle-under-Lyme,Quetiapine,Mental Health,70,4003.06,16,161,1.4,2024
East Staffordshire,Lansoprazole,General Medicine,358,4344.26,11,127,2.28,2023
Cannock Chase,Paracetamol,General Medicine,363,990.94,21,128,1.58,2024
East Staffordshire,Morphine Sulfate,General Medicine,293,4871.4,12,90,2.08,2022
Stafford and Surroundings,Quetiapine,Mental Health,395,165.0,11,123,1.51,2024
Cannock Chase,Ramipril,Cardiovascular,437,268.5,11,173,1.47,2023
Stafford and Surroundings,Tramadol,General Medicine,251,4850.96,13,53,2.15,2024
Newcastle-under-Lyme,Ramipril,Cardiovascular,387,2895.18,24,92,1.96,2022
Stoke-on-Trent,Tramadol,General Medicine,393,4030.77,10,175,1.21,2024
East Staffordshire,Fluoxetine,Mental Health,539,3585.58,16,80,2.39,2022
Newcastle-under-Lyme,Ramipril,Cardiovascular,148,2302.31,21,143,1.56,2024
East Staffordshire,Amoxicillin,Antibiotics,54,1976.34,23,142,1.25,2024
East Staffordshire,Citalopram,Mental Health,290,643.37,29,135,2.1,2022
Newcastle-under-Lyme,Insulin Glargine,General Medicine,85,3061.65,22,199,1.98,2024
Stoke-on-Trent,Clopidogrel,Cardiovascular,77,4414.29,21,83,1.74,2023
Stoke-on-Trent,Lansoprazole,General Medicine,280,1689.29,10,168,1.5,2023
East Staffordshire,Levothyroxine,General Medicine,367,,14,90,1.55,2024
Stoke-on-Trent,Hydrocortisone,General Medicine,546,2642.07,29,51,1.53,2023
Stoke-on-Trent,Metformin,General Medicine,162,1574.3,11,169,1.73,2024
Stafford and Surroundings,Pregabalin,General Medicine,102,1790.85,21,199,1.92,2024
Stoke-on-Trent,Atorvastatin,Cardiovascular,343,496.18,14,155,2.48,2023
Stoke-on-Trent,Lansoprazole,General Medicine,173,4100.52,15,132,2.32,2024
East Staffordshire,Diazepam,Mental Health,197,181.28,16,91,2.42,2024
Stoke-on-Trent,Aspirin,General Medicine,522,4204.78,27,190,1.9,2023
Stoke-on-Trent,Cetirizine,General Medicine,51,1219.9,10,87,2.46,2022
Stoke-on-Trent,Pregabalin,General Medicine,148,4424.92,28,87,2.3,2023
Cannock Chase,Azithromycin,Antibiotics,471,3245.96,17,123,1.95,2023
Stafford and Surroundings,Co-codamol,General Medicine,212,,25,208,1.43,2022
East Staffordshire,Codeine,General Medicine,450,1694.46,10,215,1.32,2024
Newcastle-under-Lyme,Clopidogrel,Cardiovascular,487,1399.49,17,66,1.76,2022
Stoke-on-Trent,Losartan,Cardiovascular,502,3261.01,25,186,1.94,2022
Newcastle-under-Lyme,Fluoxetine,Mental Health,567,4973.3,12,163,1.22,2022
Newcastle-under-Lyme,Montelukast,General Medicine,210,4821.74,12,167,1.68,2023
Stafford and Surroundings,Montelukast,General Medicine,337,4236.64,24,125,1.67,2024
Stoke-on-Trent,Naproxen,General Medicine,442,1546.92,20,215,1.92,2023
Newcastle-under-Lyme,Gabapentin,General Medicine,555,4069.56,16,96,2.02,2022
Cannock Chase,Ramipril,Cardiovascular,520,3539.64,24,131,1.95,2024
Newcastle-under-Lyme,Clopidogrel,Cardiovascular,199,1707.95,26,219,1.25,2024
Cannock Chase,Pregabalin,General Medicine,54,2658.99,16,45,1.27,2023
Newcastle-under-Lyme,Cetirizine,General Medicine,419,3223.41,19,197,1.25,2024
Newcastle-under-Lyme,Warfarin,Cardiovascular,523,2250.96,18,179,1.73,2023
Stoke-on-Trent,Amoxicillin,Antibiotics,537,2267.53,22,156,2.03,2022
Newcastle-under-Lyme,Quetiapine,Mental Health,296,3319.85,12,115,1.94,2024
Cannock Chase,Pregabalin,General Medicine,118,688.81,24,133,2.31,2022
Newcastle-under-Lyme,Bisoprolol,Cardiovascular,338,184.09,14,62,1.26,2023
Stafford and Surroundings,Omeprazole,General Medicine,491,4444.73,10,108,2.09,2024
East Staffordshire,Paracetamol,General Medicine,429,229.91,10,200,2.25,2024
Stafford and Surroundings,Pregabalin,General Medicine,92,3167.1,21,68,1.29,2024
Stoke-on-Trent,Paracetamol,General Medicine,139,290.92,17,132,2.3,2023
Stafford and Surroundings,Nitrofurantoin,Antibiotics,550,1377.4,27,114,2.34,2022
Newcastle-under-Lyme,Prednisolone,General Medicine,506,4841.14,12,216,2.15,2023
Newcastle-under-Lyme,Quetiapine,Mental Health,418,2944.67,22,62,2.18,2022
Stoke-on-Trent,Losartan,Cardiovascular,391,4522.51,22,58,1.71,2022
Cannock Chase,Warfarin,Cardiovascular,555,547.3,24,183,1.78,2024
Cannock Chase,Bisoprolol,Cardiovascular,200,1710.46,25,96,1.35,2022
East Staffordshire,Quetiapine,Mental Health,264,4980.06,20,114,1.35,2022
Newcastle-under-Lyme,Ibuprofen,General Medicine,217,4201.12,19,176,2.27,2023
East Staffordshire,Paracetamol,General Medicine,545,498.61,22,104,2.34,2022
Cannock Chase,Simvastatin,Cardiovascular,464,4931.41,28,147,1.93,2024
East Staffordshire,Ibuprofen,General Medicine,222,4541.14,22,165,1.27,2022
Stoke-on-Trent,Quetiapine,Mental Health,240,3755.62,26,192,2.33,2023
Newcastle-under-Lyme,Amlodipine,Cardiovascular,198,4030.34,25,157,2.4,2022
Stafford and Surroundings,Diazepam,Mental Health,96,2813.89,18,88,2.1,2024
Stoke-on-Trent,Amoxicillin,Antibiotics,61,3175.03,19,55,2.36,2022
Stafford and Surroundings,Ramipril,Cardiovascular,365,931.43,27,67,1.3,2022
Stoke-on-Trent,Diazepam,Mental Health,250,4932.43,10,196,1.37,2024
Stoke-on-Trent,Amlodipine,Cardiovascular,499,4754.02,19,95,2.34,2024
Stoke-on-Trent,Omeprazole,General Medicine,195,229.2,24,216,1.69,2023
Newcastle-under-Lyme,Co-codamol,General Medicine,154,4852.58,12,168,1.22,2024
Newcastle-under-Lyme,Amlodipine,Cardiovascular,486,3489.4,14,92,2.43,2023
Stoke-on-Trent,Warfarin,Cardiovascular,100,1312.01,22,43,1.5,2022
Stafford and Surroundings,Olanzapine,Mental Health,299,3128.83,11,157,2.28,2023
East Staffordshire,Bisoprolol,Cardiovascular,450,4100.29,25,86,1.75,2022
Cannock Chase,Prednisolone,General Medicine,355,3232.87,11,121,1.71,2024
Cannock Chase,Nitrofurantoin,Antibiotics,591,1806.45,19,90,2.11,2022
Stoke-on-Trent,Atorvastatin,Cardiovascular,557,2350.8,29,108,2.47,2022
East Staffordshire,Paracetamol,General Medicine,160,1710.88,25,134,1.72,2022
Stafford and Surroundings,Metformin,General Medicine,110,4384.16,28,186,2.27,2023
Stoke-on-Trent,Morphine Sulfate,General Medicine,282,,21,129,2.36,2022
Stafford and Surroundings,Codeine,General Medicine,298,1717.49,24,160,2.09,2023
Stoke-on-Trent,Fluoxetine,Mental Health,302,1456.7,29,86,1.68,2023
Stafford and Surroundings,Codeine,General Medicine,414,3129.45,23,95,1.37,2024
Newcastle-under-Lyme,Insulin Glargine,General Medicine,323,2607.22,15,154,1.52,2022
Stoke-on-Trent,Pregabalin,General Medicine,280,993.19,21,64,2.36,2022
Stafford and Surroundings,Atorvastatin,Cardiovascular,160,1840.01,13,150,2.16,2024
Stafford and Surroundings,Ramipril,Cardiovascular,474,2974.02,14,45,2.37,2023
